BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,GenderCode,RaceDesc,MaritalDesc,TrainingType,TrainingOutcome,CurrentEmployeeRating,EngagementScore,SatisfactionScore,Work-LifeBalanceScore,TrainingDurationDays,TrainingCost,Age,PerformanceScore
MSC,Active,Part-Time,Zone A,Part-Time,Sales,Female,Hispanic,Divorced,Internal,Failed,2,5,3,2,3,389.59,28,1
NEL,Active,Contract,Zone B,Full-Time,Sales,Male,White,Widowed,Internal,Incomplete,5,3,4,5,3,442.56,48,1
PL,Active,Full-Time,Zone C,Full-Time,Sales,Male,Asian,Married,Internal,Incomplete,1,1,5,5,3,327.66,26,1
PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Male,Asian,Widowed,Internal,Completed,5,3,1,5,3,400.95,35,1
SVG,Active,Contract,Zone B,Full-Time,Sales,Male,Black,Single,Internal,Completed,4,1,2,1,2,910.45,26,1
TNS,Active,Part-Time,Zone B,Temporary,Sales,Male,Other,Married,External,Passed,4,4,3,5,1,701.55,30,1
WBL,Active,Contract,Zone A,Part-Time,Sales,Male,Other,Widowed,Internal,Incomplete,5,1,3,2,1,806.87,57,1
TNS,Active,Part-Time,Zone C,Temporary,Sales,Female,Hispanic,Widowed,Internal,Completed,1,2,3,4,2,184.21,40,1
PYZ,Active,Full-Time,Zone A,Full-Time,Sales,Female,White,Widowed,External,Failed,2,3,3,4,1,208.43,25,1
WBL,Active,Part-Time,Zone C,Temporary,Sales,Female,Asian,Widowed,Internal,Incomplete,5,5,3,5,2,762.45,47,1
NEL,Active,Full-Time,Zone B,Part-Time,Sales,Female,White,Divorced,External,Incomplete,1,4,1,4,4,779.79,18,1
BPC,Active,Full-Time,Zone C,Temporary,Sales,Male,White,Married,External,Incomplete,1,5,3,5,3,427.12,43,1
CCDR,Active,Part-Time,Zone A,Temporary,Sales,Male,Other,Single,Internal,Completed,4,5,2,3,4,996.35,71,1
SVG,Active,Full-Time,Zone B,Part-Time,Sales,Male,Hispanic,Married,Internal,Completed,2,3,4,3,5,963.23,41,1
EW,Active,Contract,Zone B,Temporary,Sales,Male,Hispanic,Widowed,Internal,Failed,1,4,3,2,5,260.97,77,1
MSC,Active,Full-Time,Zone B,Temporary,Sales,Male,Other,Married,Internal,Completed,2,2,2,3,1,781.81,31,1
TNS,Active,Full-Time,Zone A,Full-Time,Sales,Male,White,Single,Internal,Passed,4,2,5,2,4,651.77,48,1
CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Male,Asian,Single,External,Completed,5,1,5,4,1,568.22,79,1
BPC,Active,Part-Time,Zone C,Full-Time,Sales,Female,Black,Married,External,Completed,2,4,5,2,4,612.1,44,1
PYZ,Active,Part-Time,Zone A,Full-Time,Sales,Female,Hispanic,Married,External,Completed,2,2,4,3,4,473.23,64,1
WBL,Active,Part-Time,Zone B,Full-Time,Sales,Female,Asian,Divorced,Internal,Completed,4,5,4,5,3,344.44,24,1
BPC,Active,Full-Time,Zone B,Part-Time,Sales,Male,Asian,Married,Internal,Incomplete,1,2,1,1,3,975.46,62,1
SVG,Active,Contract,Zone B,Part-Time,Sales,Male,Asian,Divorced,Internal,Incomplete,5,2,3,5,1,570.42,34,1
EW,Active,Part-Time,Zone A,Part-Time,Sales,Male,Hispanic,Widowed,Internal,Failed,4,4,1,1,3,391.31,78,1
MSC,Active,Contract,Zone B,Part-Time,Sales,Female,Hispanic,Married,Internal,Completed,2,4,2,5,3,826.58,52,1
TNS,Active,Part-Time,Zone C,Temporary,Sales,Male,Hispanic,Widowed,External,Incomplete,2,1,3,4,4,930.69,70,1
TNS,Active,Full-Time,Zone C,Temporary,Sales,Female,Black,Divorced,External,Incomplete,1,5,1,1,1,607.93,57,1
WBL,Active,Contract,Zone C,Part-Time,Sales,Female,Asian,Divorced,Internal,Incomplete,4,1,3,3,5,723.5,70,1
BPC,Active,Full-Time,Zone C,Part-Time,Sales,Female,Other,Single,External,Completed,1,1,5,4,5,394.04,37,1
CCDR,Active,Full-Time,Zone A,Temporary,Sales,Female,Other,Single,External,Incomplete,2,3,2,3,2,451.18,43,1
NEL,Active,Full-Time,Zone B,Full-Time,Sales,Male,White,Widowed,Internal,Passed,4,1,5,3,2,360.5,74,1
PL,Active,Full-Time,Zone B,Temporary,Sales,Male,Black,Married,Internal,Failed,1,1,3,2,4,396.28,46,1
PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Male,Hispanic,Widowed,External,Passed,2,5,2,2,1,465.96,31,1
SVG,Active,Part-Time,Zone C,Full-Time,Sales,Male,Hispanic,Single,Internal,Incomplete,2,2,3,4,1,515.56,26,1
TNS,Active,Full-Time,Zone B,Part-Time,Sales,Female,Black,Widowed,External,Passed,2,1,2,5,2,496.85,26,1
WBL,Active,Full-Time,Zone C,Full-Time,Sales,Male,Black,Divorced,External,Completed,1,2,4,4,3,629.46,80,1
EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Female,Black,Widowed,Internal,Failed,1,2,2,5,2,771.61,55,1
MSC,Active,Contract,Zone B,Full-Time,Sales,Male,White,Married,Internal,Completed,2,2,5,2,4,418.4,55,1
TNS,Active,Full-Time,Zone A,Full-Time,Sales,Female,Asian,Single,Internal,Completed,4,4,3,2,3,900.96,59,1
PYZ,Active,Full-Time,Zone A,Temporary,Sales,Female,Black,Single,External,Incomplete,4,1,5,1,1,936.96,24,1
WBL,Active,Contract,Zone C,Temporary,Sales,Female,Black,Single,External,Passed,2,1,2,4,5,269.03,33,1
BPC,Active,Full-Time,Zone C,Temporary,Sales,Male,Hispanic,Single,External,Failed,5,3,3,4,4,234.77,36,1
CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Male,White,Widowed,External,Incomplete,4,2,2,3,2,903.46,37,3
SVG,Active,Full-Time,Zone B,Full-Time,Sales,Male,Black,Married,External,Passed,2,1,3,3,4,380.3,29,3
EW,Active,Contract,Zone A,Temporary,Sales,Male,White,Married,Internal,Failed,1,2,3,4,4,511.42,75,2
MSC,Active,Part-Time,Zone A,Temporary,Sales,Female,Black,Single,External,Passed,2,4,5,5,4,171.03,39,1
TNS,Active,Contract,Zone A,Temporary,Sales,Male,Asian,Single,External,Passed,2,3,5,3,3,842.93,23,1
EW,Active,Full-Time,Zone C,Temporary,IT/IS,Female,Black,Widowed,External,Incomplete,1,2,5,2,5,581.12,79,1
CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Male,Hispanic,Widowed,External,Passed,1,2,5,5,4,426.45,41,3
BPC,Active,Contract,Zone B,Full-Time,Sales,Female,Other,Married,External,Failed,2,2,4,2,4,805.05,75,2
WBL,Active,Part-Time,Zone A,Full-Time,Sales,Female,White,Single,External,Passed,1,5,5,3,3,368.8,57,1
TNS,Active,Full-Time,Zone C,Full-Time,Sales,Female,Black,Divorced,External,Failed,2,1,4,1,5,788.67,63,1
PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Male,Black,Married,External,Incomplete,4,4,4,3,1,570.13,64,2
PL,Active,Full-Time,Zone B,Full-Time,Sales,Male,White,Single,External,Failed,1,3,4,2,4,480.87,78,2
NEL,Active,Contract,Zone C,Temporary,Sales,Male,Black,Divorced,Internal,Incomplete,4,4,2,4,5,689.48,71,1
MSC,Active,Part-Time,Zone C,Temporary,Sales,Male,Asian,Widowed,Internal,Completed,1,2,1,2,4,283.33,61,1
EW,Active,Full-Time,Zone C,Temporary,Sales,Female,Hispanic,Widowed,External,Passed,4,2,5,1,4,566.12,35,1
CCDR,Active,Full-Time,Zone B,Temporary,Sales,Male,White,Single,Internal,Incomplete,2,2,2,3,1,513.92,58,3
BPC,Active,Part-Time,Zone C,Temporary,Sales,Male,Other,Single,External,Failed,2,4,5,2,1,210.38,59,1
MSC,Active,Part-Time,Zone A,Part-Time,Production,Female,Black,Single,Internal,Completed,1,2,5,3,1,941.54,59,1
NEL,Active,Part-Time,Zone C,Full-Time,Production,Male,White,Single,External,Failed,2,3,2,1,2,959.81,28,1
MSC,Active,Contract,Zone C,Full-Time,Production,Female,Asian,Divorced,External,Passed,4,2,4,5,1,738.92,68,3
BPC,Active,Part-Time,Zone C,Temporary,Production,Female,White,Married,External,Failed,5,2,1,5,5,445.04,64,1
WBL,Active,Contract,Zone B,Full-Time,Production,Male,Black,Widowed,External,Passed,4,4,1,3,4,886.9,73,0
SVG,Terminated,Full-Time,Zone C,Temporary,Production,Female,White,Divorced,External,Incomplete,1,4,4,3,4,106.14,25,1
WBL,Active,Part-Time,Zone B,Full-Time,Production,Male,Other,Divorced,External,Passed,4,5,5,5,4,684.35,53,1
PL,Active,Part-Time,Zone A,Part-Time,Production,Male,Black,Single,Internal,Failed,2,1,2,3,2,578.81,58,1
EW,Active,Full-Time,Zone C,Full-Time,Production,Male,Asian,Widowed,Internal,Completed,4,2,3,2,5,764.51,57,1
EW,Terminated,Full-Time,Zone B,Part-Time,Production,Male,Asian,Divorced,Internal,Incomplete,2,2,4,1,2,201.76,49,1
MSC,Active,Part-Time,Zone B,Temporary,Production,Female,Hispanic,Divorced,External,Incomplete,2,1,3,5,4,730.04,24,1
TNS,Terminated,Full-Time,Zone B,Temporary,Production,Female,Asian,Married,External,Failed,1,2,5,3,2,796.88,45,1
NEL,Terminated,Part-Time,Zone C,Full-Time,Production,Female,White,Widowed,External,Completed,4,4,1,5,3,834.44,75,1
WBL,Active,Contract,Zone A,Part-Time,Production,Male,White,Single,Internal,Failed,5,5,5,5,5,569.17,25,1
NEL,Active,Contract,Zone B,Full-Time,Production,Female,Asian,Divorced,Internal,Completed,4,4,1,1,4,386.07,37,3
MSC,Terminated,Part-Time,Zone A,Temporary,Production,Male,Hispanic,Single,Internal,Incomplete,5,5,1,5,3,583.21,34,3
PL,Active,Full-Time,Zone B,Full-Time,Production,Female,Asian,Single,External,Completed,4,2,3,3,5,398.65,29,3
BPC,Active,Part-Time,Zone C,Temporary,Production,Male,White,Widowed,Internal,Passed,4,5,4,5,5,931.46,62,1
WBL,Active,Full-Time,Zone A,Temporary,Production,Male,Hispanic,Married,External,Completed,2,1,4,2,5,115.06,62,3
BPC,Active,Full-Time,Zone C,Part-Time,Production,Female,Asian,Widowed,External,Failed,4,5,3,3,2,199.82,75,2
PYZ,Active,Full-Time,Zone C,Full-Time,Production,Male,Other,Married,Internal,Failed,4,2,4,3,5,940.2,77,1
SVG,Active,Full-Time,Zone A,Part-Time,Production,Male,Other,Divorced,External,Completed,2,3,4,4,1,122.07,77,1
TNS,Active,Part-Time,Zone B,Part-Time,Production,Male,Asian,Widowed,Internal,Completed,4,2,2,5,4,875.02,52,1
WBL,Active,Full-Time,Zone C,Temporary,Production,Female,White,Married,Internal,Incomplete,4,4,1,4,4,116.4,63,2
BPC,Active,Contract,Zone C,Full-Time,Production,Female,Other,Married,External,Passed,4,2,2,5,5,341.78,33,1
CCDR,Active,Full-Time,Zone A,Full-Time,Production,Female,Black,Divorced,Internal,Completed,4,1,2,3,4,107.48,29,1
EW,Active,Part-Time,Zone B,Full-Time,Production,Female,Hispanic,Single,External,Completed,2,4,2,4,1,502.7,19,1
MSC,Active,Full-Time,Zone B,Temporary,Production,Male,Other,Divorced,External,Completed,2,1,2,2,5,570.04,44,1
NEL,Active,Full-Time,Zone C,Full-Time,Production,Male,Black,Widowed,External,Passed,2,4,2,1,1,538.83,47,1
PL,Active,Contract,Zone B,Temporary,Production,Male,White,Single,Internal,Incomplete,1,2,3,2,4,881.8,68,1
WBL,Active,Contract,Zone A,Full-Time,Production,Male,Asian,Married,Internal,Incomplete,1,4,4,3,3,258.07,71,1
PYZ,Active,Part-Time,Zone B,Part-Time,Production,Male,Black,Married,Internal,Passed,1,1,5,1,5,472.64,50,2
WBL,Active,Contract,Zone A,Temporary,Production,Male,Other,Divorced,External,Passed,1,2,3,1,2,252.88,68,1
NEL,Active,Part-Time,Zone C,Full-Time,Production,Male,Other,Single,Internal,Incomplete,2,4,3,4,2,289.68,37,2
SVG,Terminated,Part-Time,Zone A,Full-Time,Production,Female,Other,Married,Internal,Passed,1,2,5,4,3,373.87,68,2
TNS,Active,Part-Time,Zone A,Temporary,Production,Female,White,Divorced,Internal,Completed,2,4,4,2,5,918.86,70,1
WBL,Active,Contract,Zone B,Temporary,Production,Female,White,Single,Internal,Passed,2,2,1,4,4,299.7,73,1
BPC,Active,Part-Time,Zone B,Full-Time,Production,Female,White,Married,External,Completed,5,1,1,2,1,865.58,56,1
CCDR,Terminated,Full-Time,Zone B,Part-Time,Production,Female,Hispanic,Married,External,Incomplete,5,3,3,3,1,632.59,27,1
EW,Terminated,Full-Time,Zone A,Part-Time,Production,Female,White,Married,External,Incomplete,2,5,1,3,3,680.48,41,1
MSC,Active,Part-Time,Zone B,Full-Time,Production,Female,Hispanic,Divorced,External,Failed,4,3,5,4,3,287.71,71,2
CCDR,Active,Contract,Zone C,Temporary,Production,Male,Other,Divorced,External,Passed,4,5,1,3,2,102.92,76,1
SVG,Terminated,Part-Time,Zone C,Full-Time,Production,Male,Other,Divorced,Internal,Passed,3,3,5,1,2,255.6,54,1
EW,Active,Full-Time,Zone A,Full-Time,Production,Male,Other,Married,External,Passed,5,2,4,1,4,321.91,43,1
MSC,Active,Full-Time,Zone C,Part-Time,Production,Male,Other,Married,External,Completed,3,1,3,1,3,834.12,40,1
TNS,Active,Contract,Zone B,Full-Time,Production,Female,Other,Widowed,Internal,Passed,3,2,2,4,4,273.88,28,1
PYZ,Active,Part-Time,Zone C,Full-Time,Production,Female,Other,Single,Internal,Incomplete,3,4,5,5,4,217.57,45,1
WBL,Active,Contract,Zone C,Full-Time,Production,Female,Hispanic,Married,Internal,Completed,2,2,3,4,1,482.09,69,1
NEL,Active,Contract,Zone A,Part-Time,Production,Male,Black,Single,External,Failed,4,5,3,3,2,614.11,38,0
PL,Active,Contract,Zone B,Part-Time,Production,Male,Asian,Married,Internal,Incomplete,1,1,5,2,1,354.22,46,3
BPC,Active,Contract,Zone B,Temporary,Production,Male,White,Married,External,Passed,2,4,5,1,3,868.85,47,1
SVG,Active,Contract,Zone C,Full-Time,Production,Female,Hispanic,Married,Internal,Incomplete,4,1,1,1,4,134.93,41,1
EW,Active,Full-Time,Zone C,Full-Time,Production,Female,Hispanic,Married,Internal,Completed,1,2,3,3,5,531.1,62,1
MSC,Active,Part-Time,Zone B,Temporary,Production,Male,Black,Married,External,Passed,3,3,4,5,3,609.3,79,1
TNS,Active,Full-Time,Zone A,Full-Time,Production,Male,Asian,Married,Internal,Passed,3,1,5,2,2,656.68,39,1
PYZ,Active,Part-Time,Zone A,Temporary,Production,Male,Hispanic,Married,Internal,Completed,2,1,2,2,3,654.22,29,1
WBL,Active,Contract,Zone A,Full-Time,Production,Male,White,Married,External,Passed,2,2,3,2,3,879.89,21,1
SVG,Active,Part-Time,Zone A,Temporary,Production,Female,Hispanic,Divorced,External,Completed,3,3,1,5,1,977.23,25,1
EW,Active,Part-Time,Zone A,Full-Time,Production,Female,Asian,Divorced,External,Completed,3,2,2,5,2,763.37,61,1
MSC,Active,Part-Time,Zone B,Part-Time,Production,Female,Asian,Married,External,Passed,4,2,2,2,5,962.13,24,1
TNS,Terminated,Contract,Zone B,Part-Time,Production,Female,Asian,Single,External,Incomplete,5,5,2,4,2,617.27,46,1
PYZ,Active,Full-Time,Zone B,Temporary,Production,Female,Asian,Single,Internal,Failed,2,2,5,1,2,559.78,28,1
WBL,Terminated,Contract,Zone C,Full-Time,Production,Female,Black,Married,Internal,Incomplete,3,1,1,4,5,113.89,52,1
NEL,Active,Contract,Zone B,Part-Time,Production,Female,Hispanic,Married,Internal,Incomplete,3,4,3,1,4,858.62,74,1
NEL,Terminated,Contract,Zone B,Full-Time,Production,Male,Black,Divorced,Internal,Incomplete,5,2,4,4,1,343.76,39,1
MSC,Active,Contract,Zone B,Full-Time,Production,Male,Other,Widowed,Internal,Failed,5,5,3,2,5,507.58,54,1
EW,Active,Contract,Zone C,Full-Time,Production,Male,Other,Divorced,Internal,Completed,3,4,1,5,1,691.12,75,1
CCDR,Active,Contract,Zone C,Full-Time,Production,Male,Asian,Married,Internal,Completed,3,3,4,5,2,174.85,77,1
BPC,Active,Contract,Zone B,Temporary,Production,Female,Hispanic,Single,Internal,Incomplete,5,4,4,4,3,699.39,35,1
PYZ,Active,Part-Time,Zone B,Full-Time,Production,Female,Other,Married,External,Incomplete,5,2,5,2,3,254.68,61,1
WBL,Active,Part-Time,Zone C,Part-Time,Production,Female,Hispanic,Single,External,Failed,4,1,5,4,2,534.55,42,1
NEL,Active,Contract,Zone B,Temporary,Production,Male,Asian,Divorced,External,Passed,3,3,5,3,3,795.72,38,1
PL,Active,Full-Time,Zone C,Full-Time,Production,Male,Asian,Divorced,External,Completed,3,2,1,3,4,977.23,27,1
BPC,Active,Full-Time,Zone C,Part-Time,Production,Male,Hispanic,Single,Internal,Completed,3,4,5,1,3,370.79,45,1
SVG,Active,Contract,Zone A,Temporary,Production,Female,Asian,Divorced,External,Passed,3,2,1,2,1,699.48,23,1
TNS,Active,Full-Time,Zone A,Full-Time,Production,Male,Asian,Single,Internal,Completed,3,1,5,3,4,712.43,59,1
PYZ,Active,Part-Time,Zone B,Full-Time,Production,Male,Black,Married,Internal,Incomplete,3,4,4,4,1,504.66,36,1
WBL,Active,Part-Time,Zone C,Full-Time,Production,Male,Asian,Single,External,Incomplete,3,1,3,3,5,398.36,42,1
SVG,Active,Part-Time,Zone A,Full-Time,Production,Female,Hispanic,Widowed,External,Failed,3,5,4,4,4,533.61,55,1
EW,Terminated,Part-Time,Zone A,Part-Time,Production,Female,Black,Single,Internal,Completed,3,2,4,4,4,199.55,54,1
MSC,Active,Contract,Zone A,Full-Time,Production,Female,Other,Divorced,Internal,Completed,4,3,3,5,2,325.78,74,3
TNS,Active,Contract,Zone A,Part-Time,Production,Female,White,Married,External,Completed,4,1,2,2,4,336.33,54,3
PYZ,Terminated,Full-Time,Zone B,Part-Time,Production,Female,White,Divorced,External,Passed,3,3,2,4,4,242.71,28,1
WBL,Active,Full-Time,Zone C,Full-Time,Production,Female,White,Single,Internal,Failed,3,1,4,1,4,651.28,28,1
NEL,Terminated,Part-Time,Zone C,Part-Time,Production,Male,Other,Married,External,Incomplete,3,1,5,2,3,962.45,73,1
PL,Terminated,Contract,Zone B,Part-Time,Production,Male,Asian,Widowed,External,Failed,3,4,4,3,1,791.72,26,3
PYZ,Active,Part-Time,Zone A,Part-Time,Production,Male,Asian,Divorced,Internal,Incomplete,4,2,4,1,4,553.86,27,3
SVG,Active,Part-Time,Zone C,Full-Time,Production,Male,Asian,Married,External,Passed,3,1,5,1,1,735.72,25,1
TNS,Active,Part-Time,Zone B,Part-Time,Production,Male,Hispanic,Divorced,Internal,Failed,5,5,3,2,4,867.03,18,3
WBL,Active,Part-Time,Zone C,Full-Time,Production,Female,Black,Single,External,Incomplete,4,4,2,4,1,710.14,29,1
BPC,Active,Part-Time,Zone C,Temporary,Production,Female,Black,Divorced,External,Incomplete,3,5,4,2,2,799.88,56,1
CCDR,Active,Full-Time,Zone A,Part-Time,Production,Male,Other,Divorced,External,Passed,1,3,1,5,5,242.87,30,3
EW,Active,Full-Time,Zone A,Full-Time,Production,Male,Hispanic,Single,Internal,Passed,3,3,2,4,4,849.77,45,3
MSC,Active,Contract,Zone C,Temporary,Production,Male,Asian,Married,External,Passed,3,3,2,5,2,471.5,70,1
NEL,Active,Full-Time,Zone B,Temporary,Production,Male,Other,Married,Internal,Passed,2,3,5,3,1,535.93,50,3
SVG,Active,Full-Time,Zone B,Temporary,Production,Male,Asian,Married,Internal,Passed,3,5,2,1,3,752.33,34,1
TNS,Active,Full-Time,Zone A,Full-Time,Production,Male,Hispanic,Single,Internal,Completed,3,5,2,1,3,343.52,66,1
WBL,Active,Part-Time,Zone B,Temporary,Production,Male,Black,Single,Internal,Completed,3,1,1,2,3,860.31,24,1
BPC,Active,Full-Time,Zone C,Full-Time,Production,Male,Asian,Widowed,External,Completed,3,1,5,1,4,265.55,27,2
CCDR,Terminated,Contract,Zone A,Temporary,Production,Male,Black,Widowed,Internal,Completed,3,4,2,4,1,183.85,53,1
SVG,Active,Full-Time,Zone A,Full-Time,Production,Female,Hispanic,Widowed,External,Completed,3,2,2,3,5,942.09,53,2
EW,Terminated,Part-Time,Zone A,Temporary,Production,Female,Asian,Divorced,External,Passed,3,3,4,5,4,381.94,34,2
MSC,Active,Part-Time,Zone A,Full-Time,Production,Female,Asian,Divorced,External,Failed,3,3,2,4,1,358.73,28,1
TNS,Terminated,Full-Time,Zone B,Temporary,Production,Female,Other,Widowed,External,Passed,3,3,3,1,3,578.02,49,1
BPC,Terminated,Part-Time,Zone C,Part-Time,Production,Female,Other,Single,Internal,Completed,3,4,4,3,2,223.29,24,1
CCDR,Active,Full-Time,Zone C,Full-Time,Production,Female,Hispanic,Divorced,Internal,Passed,3,5,3,2,5,992.37,68,1
